"VARIANT_AR_ID"|"VARIANT_NO"|"ATTRIBUTE_VALUE_TX"|"ATTRIBUTE_UOM_CD"|"STRUCTUREGROUPNAME"|"MFR_PART_NO"|"DATASHEET_URL"
13588823|"23321170"|"400|200"|"Vdc/Vac"|"Capacitor Film"|"B32529-C6102-J"|http://www.epcos.com/inf/20/20/db/fc_2009/MKT_B32520_529.pdf
13588825|"23321949"|"250|160"|"Vdc/Vac"|"Capacitor Film"|"B32654-A3475-J"|http://www.epcos.com/inf/20/20/db/fc_2009/MKP_B32651_656.pdf
13588840|"23535778"|"100|63"|"Vdc/Vac"|"Capacitor Film"|"B32562J1685K"|http://www.epcos.com/inf/20/20/db/fc_05/MKT_B32560_64.pdf
13588842|"23536122"|"100|63"|"Vdc/Vac"|"Capacitor Film"|"B32562J1225K"|http://www.epcos.com/inf/20/20/db/fc_2009/MKT_B32560_564.pdf
13588843|"23536162"|"63|40"|"Vdc/Vac"|"Capacitor Film"|"B32560J105K"|http://www.epcos.com/inf/20/20/db/fc_05/MKT_B32560_64.pdf
13588912|"23535456"|"250|160"|"Vdc/Vac"|"Capacitor Film"|"B32562J3185K"|http://www.epcos.com/inf/20/20/db/fc_2009/MKT_B32560_564.pdf
13588859|"23535564"|"400|200"|"Vdc/Vac"|"Capacitor Film"|"B32560J6472K"|http://www.epcos.com/inf/20/20/db/fc_2009/MKT_B32560_564.pdf
13588844|"23536295"|"250|160"|"Vdc/Vac"|"Capacitor Film"|"B32560J3473K"|http://www.epcos.com/inf/20/20/db/fc_2009/MKT_B32560_564.pdf
13588847|"23536626"|"250|160"|"Vdc/Vac"|"Capacitor Film"|"B32562J3105K"|http://www.epcos.com/inf/20/20/db/fc_2009/MKT_B32560_564.pdf
13588849|"23536723"|"400|200"|"Vdc/Vac"|"Capacitor Film"|"B32562J6334K"|http://www.epcos.com/inf/20/20/db/fc_2009/MKT_B32560_564.pdf
13588856|"23537866"|"100|63"|"Vdc/Vac"|"Capacitor Film"|"B32560J1334K"|http://www.epcos.com/inf/20/20/db/fc_2009/MKT_B32560_564.pdf
13588858|"23538001"|"400|200"|"Vdc/Vac"|"Capacitor Film"|"B32560J6222K"|http://www.epcos.com/inf/20/20/db/fc_2009/MKT_B32560_564.pdf
13588860|"23544568"|"100|63"|"Vdc/Vac"|"Capacitor Film"|"B32560J1224K"|http://www.epcos.com/inf/20/20/db/fc_2009/MKT_B32560_564.pdf
13588862|"23544775"|"250|160"|"Vdc/Vac"|"Capacitor Film"|"B32560J3104J"|http://www.epcos.com/inf/20/20/db/fc_2009/MKT_B32560_564.pdf
13589112|"27962003"|"1600|500"|"Vdc/Vac"|"Capacitor Film"|"B32653A1103J3"|http://www.epcos.com/inf/20/20/db/fc_2009/MKP_B32651_656.pdf
