"VARIANT_AR_ID"|"VARIANT_NO"|"ATTRIBUTE_VALUE_TX"|"ATTRIBUTE_UOM_CD"|"STRUCTUREGROUPNAME"|"MFR_PART_NO"|"DATASHEET_URL"
3063333|"31091741"|"760|500"|"Vac|Vac"|"Capacitor Ceramic Singlelayer"|"WKP472KCPYREKR"|http://www.vishay.com/docs/22206/22206.pdf
4304676|"31091742"|"760|500"|"Vac|Vac"|"Capacitor Ceramic Singlelayer"|"WKP472MCPDD0KR"|http://www.vishay.com/docs/22206/22206.pdf
4215097|"31091743"|"760|500"|"Vac|Vac"|"Capacitor Ceramic Singlelayer"|"WKP472MCPDF0KR"|http://www.vishay.com/docs/22206/22206.pdf
3457271|"31091747"|"760|500"|"Vac|Vac"|"Capacitor Ceramic Singlelayer"|"WKP472MCPEF0KR"|http://www.vishay.com/docs/22206/22206.pdf
4452970|"31091748"|"760|500"|"Vac|Vac"|"Capacitor Ceramic Singlelayer"|"WKP472MCPEH0KR"|http://www.vishay.com/docs/22206/22206.pdf
2333660|"31091753"|"760|500"|"Vac|Vac"|"Capacitor Ceramic Singlelayer"|"WKP472MCPERUKR"|http://www.vishay.com/docs/22206/22206.pdf
2166342|"31091754"|"760|500"|"Vac|Vac"|"Capacitor Ceramic Singlelayer"|"WKP472MCPERYKR"|http://www.vishay.com/docs/22206/22206.pdf
1981947|"31091755"|"760|500"|"Vac|Vac"|"Capacitor Ceramic Singlelayer"|"WKP472MCPERZKR"|http://www.vishay.com/docs/22206/22206.pdf
1804608|"31091756"|"760|500"|"Vac|Vac"|"Capacitor Ceramic Singlelayer"|"WKP472MCPKX0KR"|http://www.vishay.com/docs/22206/22206.pdf
3066381|"31091757"|"760|500"|"Vac|Vac"|"Capacitor Ceramic Singlelayer"|"WKP472MCPQH0KR"|http://www.vishay.com/docs/22206/22206.pdf
3460305|"31091763"|"760|500"|"Vac|Vac"|"Capacitor Ceramic Singlelayer"|"WKP681KCPEJ0KR"|http://www.vishay.com/docs/22206/22206.pdf
4456408|"31091764"|"760|500"|"Vac|Vac"|"Capacitor Ceramic Singlelayer"|"WKP681MCPDF0KR"|http://www.vishay.com/docs/22206/22206.pdf
4920497|"31091766"|"760|500"|"Vac|Vac"|"Capacitor Ceramic Singlelayer"|"WKP681MCPERUKR"|http://www.vishay.com/docs/22206/22206.pdf
2694071|"31091767"|"760|500"|"Vac|Vac"|"Capacitor Ceramic Singlelayer"|"WKP681MCPERZKR"|http://www.vishay.com/docs/22206/22206.pdf
2499142|"31091768"|"760|500"|"Vac|Vac"|"Capacitor Ceramic Singlelayer"|"WKP681MCPQG0KR"|http://www.vishay.com/docs/22206/22206.pdf
4045618|"31092064"|"440|250"|"Vac|Vac"|"Capacitor Ceramic Singlelayer"|"WYO102MCMBB0KR"|http://www.vishay.com/docs/22202/wyo.pdf
