"VARIANT_AR_ID"|"VARIANT_NO"|"ATTRIBUTE_VALUE_TX"|"ATTRIBUTE_UOM_CD"|"STRUCTUREGROUPNAME"|"MFR_PART_NO"|"DATASHEET_URL"
2017342|"28771336"|"600|630"|"V"|"Capacitor Ceramic Multilayer"|"1812CC472KA11A"|http://www.avx.com/docs/Catalogs/aphvc.pdf
2805272|"28771340"|"600|630"|"V"|"Capacitor Ceramic Multilayer"|"1812CC473MA11A"|http://www.avx.com/docs/Catalogs/aphvc.pdf
2021331|"28771352"|"600|630"|"V"|"Capacitor Ceramic Multilayer"|"2220CC533MAT1A"|http://www.avx.com/docs/Catalogs/aphvc.pdf
4492274|"28771058"|"600|630"|"V"|"Capacitor Ceramic Multilayer"|"1808CC200JAT1A"|http://www.avx.com/docs/Catalogs/aphvc.pdf
3272924|"28771073"|"600|630"|"V"|"Capacitor Ceramic Multilayer"|"1825CA681JAT1A"|http://www.avxcorp.com/docs/Catalogs/ccog.pdf
1961066|"28771096"|"600|630"|"V"|"Capacitor Ceramic Multilayer"|"1808CA120KAT1A"|http://www.avx.com/docs/Catalogs/aphvc.pdf
3094701|"28771098"|"600|630"|"V"|"Capacitor Ceramic Multilayer"|"1812CA470KAT1A"|http://www.avx.com/docs/Catalogs/aphvc.pdf
2929367|"28771099"|"600|630"|"V"|"Capacitor Ceramic Multilayer"|"1812CC682MAT1A"|http://www.avx.com/docs/Catalogs/aphvc.pdf
3701334|"28771103"|"600|630"|"V"|"Capacitor Ceramic Multilayer"|"1812CC470KAT1A"|http://www.avx.com/docs/Catalogs/aphvc.pdf
3098438|"28771114"|"600|630"|"V"|"Capacitor Ceramic Multilayer"|"2220CC224MAJ1A"|http://www.avx.com/docs/Catalogs/aphvc.pdf
3704625|"28771119"|"600|630"|"V"|"Capacitor Ceramic Multilayer"|"1825CC103JAT1A"|http://www.avxcorp.com/docs/Catalogs/ccog.pdf
3478252|"28771296"|"600|630"|"V"|"Capacitor Ceramic Multilayer"|"3640CC564KAJ3A"|http://www.avx.com/docs/Catalogs/aphvc.pdf
4539081|"28771298"|"600|630"|"V"|"Capacitor Ceramic Multilayer"|"3640CA102KAT9A"|http://www.avx.com/docs/Catalogs/aphvc.pdf
3483238|"28771328"|"600|630"|"V"|"Capacitor Ceramic Multilayer"|"1808CA112JAT1A"|http://www.avx.com/docs/Catalogs/aphvc.pdf
5049008|"28771331"|"600|630"|"V"|"Capacitor Ceramic Multilayer"|"1808CC152KA11A"|http://www.avx.com/docs/Catalogs/aphvc.pdf
4255250|"28771332"|"600|630"|"V"|"Capacitor Ceramic Multilayer"|"1812CA562JAT3A"|http://www.avx.com/docs/Catalogs/aphvc.pdf
4749009|"28771334"|"600|630"|"V"|"Capacitor Ceramic Multilayer"|"1808CC102ZAT1A"|http://www.avx.com/docs/Catalogs/aphvc.pdf
1848101|"28771337"|"600|630"|"V"|"Capacitor Ceramic Multilayer"|"1808CC152KAT1A"|http://www.avx.com/docs/Catalogs/aphvc.pdf
3148450|"28771338"|"600|630"|"V"|"Capacitor Ceramic Multilayer"|"1812CC102KAJ1A"|http://www.avx.com/docs/Catalogs/aphvc.pdf
4821532|"28771509"|"600|630"|"V"|"Capacitor Ceramic Multilayer"|"1206CC153KAJ1A"|https://www.avx.com/docs/catalogs/cx5r.pdf
4762770|"28771510"|"600|630"|"V"|"Capacitor Ceramic Multilayer"|"1808CC102JAT1A"|http://www.avx.com/docs/Catalogs/aphvc.pdf
4765687|"28771542"|"600|630"|"V"|"Capacitor Ceramic Multilayer"|"1808CC103JAT1A"|http://www.avx.com/docs/Catalogs/aphvc.pdf
